date,tavg,tmin,tmax,prcp,wspd,pres,tsun
01-01-22 0:00,28.1,24.6,32,,11.9,1011.7,
02-01-22 0:00,28.3,25.5,32,,12.1,1010.6,
03-01-22 0:00,28.3,25,32.5,,10.8,1010.1,
04-01-22 0:00,28.2,24,33,,10.4,1010.6,
05-01-22 0:00,28.3,25,32,,11.7,1011.9,
06-01-22 0:00,28.6,26,33,,14.7,1011.5,
07-01-22 0:00,28.6,26,32.2,,16,1011.4,
08-01-22 0:00,28.4,25.6,33,,15.4,1011.3,
09-01-22 0:00,28.1,25,33,,15.6,1011.1,
10-01-22 0:00,28,25,32.1,,15.6,1010.2,
11-01-22 0:00,28.1,25.3,32,,16.2,1010.5,
12-01-22 0:00,27.7,24.6,32,,15.2,1011.6,
13-01-22 0:00,28.1,24.5,33,,12.4,1011.2,
14-01-22 0:00,28.1,25.2,32,,12.8,1011,
15-01-22 0:00,28.2,24.7,33,,11.5,1010.1,
16-01-22 0:00,28.1,24.7,33.5,,10.9,1009.2,
17-01-22 0:00,28,25,33,,11.3,1010.4,
18-01-22 0:00,28,25,32,,15.4,1011,
19-01-22 0:00,28.7,26.7,34,,11.6,1011.7,
20-01-22 0:00,28,25,32,,13.5,1010.4,
21-01-22 0:00,28,26,31,,13.1,1010.8,
22-01-22 0:00,28.2,26,32.5,,14.5,1011.1,
23-01-22 0:00,28.2,26,33,,17.2,1011,
24-01-22 0:00,28.1,25.5,32.2,,18.4,1009.5,
25-01-22 0:00,27.9,25,34,,20.7,1009.5,
26-01-22 0:00,27.3,24.5,32,,15.3,1010.8,
27-01-22 0:00,27.2,24.7,31.1,,13.5,1010.9,
28-01-22 0:00,27,23.5,31,,12.5,1010.2,
29-01-22 0:00,27.3,24.7,31,,12.6,1011.3,
30-01-22 0:00,27.4,24,32,,15.4,1010.6,
31-01-22 0:00,27.6,24.7,33,,11.5,1010.2,
01-02-22 0:00,27.9,24,33,,11.1,1009.4,
02-02-22 0:00,27.9,24.7,32,,12.2,1010.6,
03-02-22 0:00,28.6,26,33,,15.4,1010.8,
04-02-22 0:00,28,26,31,,13.6,1010.1,
05-02-22 0:00,27.5,24,31,,9.8,1010,
06-02-22 0:00,28.2,25.5,33,,12.5,1009.2,
07-02-22 0:00,28.2,25.2,33,,12,1011.1,
08-02-22 0:00,28.1,24,33,,16.3,1011,
09-02-22 0:00,28.4,24.6,36,,17.7,1010.3,
10-02-22 0:00,28.1,25.2,32,,14.6,1010.3,
11-02-22 0:00,27.8,24.7,32,,15.9,1009.6,
12-02-22 0:00,27.7,26,31,,12.1,1009.9,
13-02-22 0:00,27.7,24,32,,12.6,1009,
14-02-22 0:00,28.1,24.7,32.7,,12.2,1009.2,
15-02-22 0:00,27.7,24,32,,14.6,1010,
16-02-22 0:00,28.3,24.6,35,,9.6,1009,
17-02-22 0:00,28.4,25,32.5,,9,1007.6,
18-02-22 0:00,28.9,26,33.5,,9.6,1007.6,
19-02-22 0:00,28.9,25.6,34,,12.8,1008.2,
20-02-22 0:00,28.5,25,33,,11.3,1009.4,
21-02-22 0:00,28.6,24.5,33.2,,12.8,1008.5,
22-02-22 0:00,28.1,26,32.6,,12.2,1008.1,
23-02-22 0:00,28.3,26,31.7,,15.7,1009.3,
24-02-22 0:00,28.1,26,32,,13.2,1012,
25-02-22 0:00,28.4,25.9,33,,14.8,1011.9,
26-02-22 0:00,28.4,25,33,,11.1,1011,
27-02-22 0:00,28.8,25.7,33,,14.6,1010.6,
28-02-22 0:00,28.6,26,33,,14.6,1010.9,
01-03-22 0:00,28.1,24.6,33,,13.7,1010.6,
